Species,ID,N,wdepth,veg,wtemp,leaf,warea,pH
A,36,5,6.08632129,Broad,-1.167362242,1,1.747808112,8.375270940370012
A,37,4,5.120426218,Broad,-0.9747668,0,1.081302838,6.054137350969628
A,38,23,8.009785717,Broad,-1.534481753,1,1.827498586,6.892706103930158
A,39,1,5.52702943,Broad,-0.517154671,0,2.097839801,6.097433000304591
A,40,5,4.974877269,Broad,-1.108419606,1,1.545570279,7.199584805961194
A,41,5,4.296199915,Broad,-0.454535235,1,2.648552402,6.950226794729037
A,42,0,5.942602939,Broad,-0.460028475,1,1.341856416,6.675972009847967
A,43,4,4.706212466,Broad,-0.55214798,1,2.401121457,5.930585106369227
A,44,0,1.632984882,Conifer,-0.830674243,1,1.916370518,7.024092924877997
A,45,0,2.009584559,Conifer,-1.166849263,0,1.142276192,7.549373779685564
A,46,1,5.568090239,Conifer,-1.78603832,1,5.025774063,6.7205686488207705
A,47,0,3.91247583,Conifer,0.425043501,0,1.455315779,7.122817549492668
A,48,5,4.607769078,Broad,-0.723748919,1,1.515285783,6.74928434629557
A,49,30,8.869018317,Conifer,-1.99034942,1,2.772293965,7.288724614393779
A,50,1,6.773126239,Broad,-0.728227015,0,1.505776853,5.173804288751246
A,51,2,8.291037089,Conifer,-1.656690499,1,1.809720833,6.0297851108672536
A,52,4,2.943644235,Broad,-0.660702448,0,1.457950335,7.539743938199157
A,53,0,6.024094439,Broad,-1.076282955,1,1.176248088,6.111068301330606
A,54,1,4.086673143,Broad,-0.056268133,1,2.652154683,7.246314985633958
A,55,0,3.706646215,Conifer,-0.612058127,1,1.419318374,6.1362247273348975
A,56,0,1.721788419,Conifer,-0.399183944,1,2.704314029,6.57815726363267
A,57,4,3.147174395,Broad,-1.293242178,0,4.309532592,7.142086015680542
A,58,1,4.861648527,Broad,-1.825052472,1,1.021444485,6.33298596741936
A,59,2,6.182693366,Conifer,-1.37841047,1,3.272555265,6.635452972827823
A,60,1,4.205938276,Conifer,-0.722728304,1,1.925309633,7.149400578375015
A,61,0,2.851863466,Conifer,-0.642008255,1,0.828573963,7.294104719044862
A,62,1,3.517727411,Conifer,-0.822211943,1,2.667298925,7.228866509362242
A,63,0,2.442899347,Broad,-0.133045979,1,0.96943329600000006,7.301913614161123
A,64,6,9.833152025,Broad,-1.821984596,1,1.396960483,7.586169727737037
A,65,0,2.852268353,Broad,-0.204988711,1,2.922448025,7.4631724735637865
A,66,0,2.300505165,Broad,-0.371455985,1,2.703983128,7.173792212914816
A,67,1,6.537213961,Broad,-1.194767646,1,2.041835861,6.820864615448977
A,68,2,4.08070901,Broad,-1.188281373,1,2.032008188,6.173967562792806
A,69,1,3.242831104,Broad,-0.835406667,0,2.347427815,7.501528615304032
A,70,6,5.998066676,Broad,-0.348161744,1,1.461797141,7.003096470221421
A,71,0,3.191170413,Broad,-0.35415655,0,2.590553355,6.8002146708992885
A,72,0,3.227251471,Conifer,-0.582456042,1,0.935235917,6.9710904560738385
A,73,6,7.39530964,Broad,-1.135726376,0,2.24674912,7.092468225903767
A,74,2,1.794701909,Broad,-0.276213912,1,1.925279126,5.488522691472843
A,75,16,10.74315211,Broad,-2.020542267,1,2.346064797,7.7469384556348535
A,76,2,4.675648528,Broad,-0.808404196,0,1.28624844,7.438416604300472
A,77,2,5.291130474,Broad,-0.197439156,1,1.619702352,6.686547807553631
A,78,0,3.243457489,Broad,-0.720652301,0,1.17002554,7.542419561113017
A,79,1,7.854505275,Broad,-1.152213735,0,0.870293016,6.6032646613859685
A,80,0,4.686522418,Broad,-0.675745874,1,1.053370242,6.537765250163149
A,81,0,6.008171069,Broad,-0.232013261,1,1.570614766,7.362338829388033
A,82,0,5.791480206,Broad,-1.253974531,0,2.055937573,7.1978819198799195
A,83,0,5.723646341,Conifer,-0.934419261,0,0.565841963,6.135452056049006
A,84,16,6.296409937,Broad,-0.958493988,1,2.615028757,6.587478187622702
A,85,0,6.385805544,Conifer,-1.469387804,1,1.585358223,7.286372606650501
A,86,0,5.459729316,Conifer,-0.93009303,1,0.590893399,6.724914398860403
A,87,0,2.287717098,Broad,-0.099265721,0,3.49984742,7.996129693897483
A,88,0,6.351687732,Broad,-0.983917823,0,2.92028298,6.685857154297055
A,89,0,6.286317606,Conifer,-1.7086895,0,1.974567984,7.271890991296532
A,90,3,5.477238889,Broad,-0.372290748,1,1.254972674,6.660236180902351
A,91,1,2.096376018,Broad,0.309024586,0,1.125804712,6.62105185536481
A,92,2,2.828776241,Broad,-0.982529417,0,1.346240312,6.877959016229162
A,93,0,6.044160723,Conifer,-0.856921732,1,2.448985789,6.793234431683208
A,94,7,3.749894504,Broad,-0.901346607,1,3.077238387,6.742160778374543
A,95,0,2.909686241,Conifer,-0.769812153,0,1.445738966,6.944156528173506
A,96,6,5.660471071,Conifer,-1.827721947,1,3.197910067,6.405456515591164
A,97,6,7.198781031,Broad,-1.108263928,1,1.266591009,7.461331720935879
A,98,18,5.008122478,Broad,-1.057499013,1,1.926899224,6.787171594400253
A,99,3,5.640043047,Conifer,-0.867745796,1,3.248621617,6.758900181887646
A,100,0,6.562183825,Conifer,-1.060410558,0,1.235949591,7.380838519227781
A,101,1,4.224629904,Broad,-0.517145217,1,1.736335339,7.191945805300965
A,102,0,5.293442339,Broad,-0.262731772,0,1.88292565,7.9855145836267605
A,103,15,5.615225393,Broad,-0.733573886,1,1.027845412,6.928308538615757
A,104,0,2.755296055,Broad,-0.454150275,0,1.628200585,8.080642481221265
A,105,0,3.476641192,Conifer,-1.251004629,0,2.212732415,6.967740278085361
A,106,0,2.87513398,Broad,-0.276158659,0,1.479168196,6.714702069257207
A,107,1,4.602432181,Broad,-0.494487427,0,2.778498116,6.458126953741559
A,108,2,2.831570339,Conifer,-0.653606383,1,3.229934429,7.210745170589489
A,109,10,8.127248226,Broad,-1.543497967,0,3.830863343,8.538140442566599
A,110,0,3.4348919,Broad,-1.340677774,0,2.49131904,6.108028888013272
A,111,4,3.132005832,Broad,-0.574654954,1,0.788454615,7.3656222653390655
A,112,0,2.372618281,Conifer,-0.171434553,1,1.697047456,7.850120163471641
A,113,0,5.743247409,Conifer,-2.421103583,1,3.723489752,6.940747857291177
A,114,5,4.993036112,Conifer,-1.1633699770000001,1,1.222124323,7.011015835966076
A,115,2,7.86460836,Conifer,-2.320175974,1,2.017826832,6.572789168609481
A,116,5,2.571998561,Broad,0.239907829,1,4.420842203,7.9192585614207776
A,117,3,4.947103935,Broad,-0.661445215,1,3.356927967,7.446702207993126
A,118,0,6.829985494,Conifer,-1.287683356,0,0.704482028,7.58069835814919
A,119,0,2.352249948,Broad,-0.166412566,0,1.519410992,5.273154060049297
A,120,5,7.321285188,Broad,-0.662883173,0,1.569302816,7.586546745937218
A,121,9,5.417243014,Broad,-0.97461485,0,1.47629068,6.682718244429137
A,122,0,7.797295193,Conifer,-2.000186559,1,2.535601714,5.993775996245762
A,123,7,8.868839904,Broad,-1.387624549,1,1.326767767,6.330002184624193
A,124,6,4.049553926,Broad,-0.522873972,1,1.620031529,5.540680588609656
A,125,3,5.763159177,Broad,-0.881953419,0,1.540475718,6.248915811277111
A,126,1,1.890597838,Broad,-1.008165895,1,1.943388501,6.1748833994075305
A,127,0,3.308067883,Conifer,-1.212510474,0,2.652290482,6.052683883645363
A,128,0,5.657306926,Conifer,-1.086557374,0,1.633547972,6.748051429828556
A,129,0,1.962639826,Broad,-0.420247998,0,2.024442777,6.704756641194643
A,130,0,3.130627794,Broad,0.226128418,1,0.858832991,8.81164178531726
A,131,5,4.957632119,Broad,-0.423387582,1,2.314792552,6.39281743166295
A,132,0,5.749784202,Broad,-0.976711171,0,0.381517196,7.5174530092031535
A,133,11,9.175908977,Broad,-1.946962267,0,2.710843556,7.0408556409444145
A,134,2,2.452054395,Broad,-0.256612496,1,1.750321354,7.195013304204147
A,135,22,6.660337432,Broad,-1.252233378,1,1.955577417,6.200134829253091
A,136,6,8.557334219,Conifer,-2.153561059,0,2.601766623,7.080445879238701
A,137,3,5.431618328,Conifer,-1.45218298,0,2.3573508,7.246273238102657
A,138,0,5.480344616,Conifer,-1.952389308,0,2.380328352,7.216853903993841
A,139,6,5.741608488,Broad,0.390781485,1,3.400282759,5.872744882325668
A,140,0,3.296531352,Conifer,-1.087101735,1,2.616438686,6.150617469692431
A,141,1,8.253977279,Conifer,-2.035866615,0,0.880766031,6.642359465910521
A,142,0,2.973616026,Broad,-0.294048385,1,1.67105447,7.258162946246147
A,143,0,4.828578258,Broad,-1.197082408,0,1.429177712,7.320151508960106
A,144,0,1.359198978,Broad,0.011529924,1,1.46452168,6.5267403909062125
A,145,2,4.269327371,Broad,-1.33896306,1,1.697971688,7.213111853651283
A,146,3,6.746570313,Broad,-0.815850568,0,2.265529222,7.626181441468264
A,147,1,1.089037499,Broad,-0.218301936,1,3.01053912,6.665931941645681
A,148,1,4.089205893,Broad,-0.664709126,0,1.956743783,7.173797448034766
A,149,4,2.184535253,Broad,-0.191889363,1,2.147856973,7.580053049260043
A,150,1,8.261952719,Conifer,-1.871499066,1,3.912708271,6.432128599082169
B,1,2,4.629207841,Broad,-1.782417944,1,1.594135896,6.259837444976139
B,2,1,6.546289394,Broad,-0.365246584,1,1.200485209,5.683536252124233
B,3,2,6.702731911,Broad,-0.805982727,1,1.64789225,8.236519401786527
B,4,0,2.515076532,Broad,0.481209492,0,2.23249395,5.501073970470491
B,5,1,5.793679098,Broad,-0.813979077,0,0.937514419,6.628785774678559
B,6,3,6.313009908,Conifer,-1.770295826,0,1.776351223,6.866959663184688
B,7,2,6.878183132,Broad,-1.359603135,1,2.239946625,6.6147389575192435
B,8,1,6.099726677,Broad,-0.529457006,0,2.439391625,6.877039001162163
B,9,4,7.835128458,Conifer,-1.427277013,0,2.379517798,6.819587725555955
B,10,1,7.142546482,Conifer,-1.812315016,0,4.538392564,7.410258385204478
B,11,3,4.705310382,Conifer,-1.244489174,0,3.110062074,8.66789269546208
B,12,3,5.435867478,Broad,-0.932479492,1,3.037798226,5.256752219540378
B,13,4,9.011770677,Conifer,-1.868127613,1,2.753252227,6.5361501138899065
B,14,0,5.151271218,Broad,-0.345349858,1,1.190488118,5.419785652023048
B,15,4,2.829674298,Conifer,-0.345797954,1,1.828443157,6.178183495161083
B,16,2,7.435479634,Broad,-0.970069115,1,1.841478852,7.180736406773487
B,17,1,4.164736048,Broad,-0.321539786,0,2.002164238,7.585517046384059
B,18,1,8.576527166,Broad,-1.8857661,1,1.421860326,5.8009859077632715
B,19,5,3.842024129,Conifer,-1.167904311,0,3.407695888,7.0774833005992726
B,20,2,4.880560153,Conifer,-2.051151197,0,1.50993683,5.945846250856339
B,21,0,4.399855384,Broad,-0.231950008,0,0.632836563,6.44291821673725
B,22,4,6.987758144,Conifer,-1.589852157,1,3.928619065,7.8970290778163275
B,23,2,5.662228226,Broad,-1.055111383,1,2.440799246,5.6827887918770665
B,24,2,3.649766809,Conifer,-1.02263546,1,2.3082426640000002,8.163141868062365
B,25,2,8.871904036,Broad,-1.702212752,0,3.223054757,8.122570950921299
B,26,4,2.212515366,Conifer,-0.722568386,0,2.874259548,6.593231133918376
B,27,4,5.093109873,Conifer,-0.721837917,1,2.653185677,9.271962765399103
B,28,1,3.207217154,Broad,-0.419671107,1,1.338080449,8.31214412697765
B,29,0,8.807014182,Broad,-1.913781998,1,2.282427729,6.286442536190544
B,30,1,5.980674337,Broad,-1.320639465,1,1.663623866,7.6095054137636575
B,31,3,4.648084968,Broad,-1.268863739,1,1.852367881,6.876542444766328
B,32,3,4.305217673,Broad,-0.81701534,0,2.08898133,5.666248159487361
B,33,0,3.650817301,Broad,-0.111372541,0,0.892876654,8.106621813843278
B,34,1,9.123751645,Broad,-2.100268636,0,1.673678888,6.25610563596329
B,35,2,7.932102324,Broad,-1.785868907,0,1.450855855,7.346471889316263
B,36,3,6.08632129,Broad,-1.167362242,1,1.747808112,8.202017900705336
B,37,0,5.120426218,Broad,-0.9747668,0,1.081302838,7.413071409639592
B,38,1,8.009785717,Broad,-1.534481753,1,1.827498586,6.167618300742099
B,39,3,5.52702943,Broad,-0.517154671,0,2.097839801,6.108432609998382
B,40,0,4.974877269,Broad,-1.108419606,1,1.545570279,7.212126336908443
B,41,3,4.296199915,Broad,-0.454535235,1,2.648552402,6.999553341538377
B,42,1,5.942602939,Broad,-0.460028475,1,1.341856416,6.699924854612177
B,43,3,4.706212466,Broad,-0.55214798,1,2.401121457,6.4137672875858565
B,44,2,1.632984882,Conifer,-0.830674243,1,1.916370518,6.9803147189939585
B,45,0,2.009584559,Conifer,-1.166849263,0,1.142276192,7.199722071300365
B,46,5,5.568090239,Conifer,-1.78603832,1,5.025774063,6.706723099343169
B,47,1,3.91247583,Conifer,0.425043501,0,1.455315779,5.730954290148503
B,48,5,4.607769078,Broad,-0.723748919,1,1.515285783,7.313971645763031
B,49,2,8.869018317,Conifer,-1.99034942,1,2.772293965,6.125081545181174
B,50,2,6.773126239,Broad,-0.728227015,0,1.505776853,7.523476711747235
B,51,3,8.291037089,Conifer,-1.656690499,1,1.809720833,6.563848280497639
B,52,3,2.943644235,Broad,-0.660702448,0,1.457950335,6.794212608630678
B,53,1,6.024094439,Broad,-1.076282955,1,1.176248088,5.92430228580512
B,54,11,4.086673143,Broad,-0.056268133,1,2.652154683,6.820689219133169
B,55,2,3.706646215,Conifer,-0.612058127,1,1.419318374,7.199624653988063
B,56,0,1.721788419,Conifer,-0.399183944,1,2.704314029,7.486965639798152
B,57,1,3.147174395,Broad,-1.293242178,0,4.309532592,7.012036424495455
B,58,2,4.861648527,Broad,-1.825052472,1,1.021444485,6.841869480363315
B,59,3,6.182693366,Conifer,-1.37841047,1,3.272555265,6.642995917317098
B,60,1,4.205938276,Conifer,-0.722728304,1,1.925309633,5.578634606909173
B,61,0,2.851863466,Conifer,-0.642008255,1,0.828573963,7.030506992510568
B,62,3,3.517727411,Conifer,-0.822211943,1,2.667298925,6.854563706811639
B,63,1,2.442899347,Broad,-0.133045979,1,0.96943329600000006,5.865278745405387
B,64,3,9.833152025,Broad,-1.821984596,1,1.396960483,9.04329191680606
B,65,3,2.852268353,Broad,-0.204988711,1,2.922448025,7.010172825168575
B,66,3,2.300505165,Broad,-0.371455985,1,2.703983128,7.532574460446465
B,67,2,6.537213961,Broad,-1.194767646,1,2.041835861,6.0395038569549975
B,68,3,4.08070901,Broad,-1.188281373,1,2.032008188,6.311224856577125
B,69,4,3.242831104,Broad,-0.835406667,0,2.347427815,7.597479410549799
B,70,1,5.998066676,Broad,-0.348161744,1,1.461797141,7.097350823964895
B,71,0,3.191170413,Broad,-0.35415655,0,2.590553355,5.864384473794038
B,72,1,3.227251471,Conifer,-0.582456042,1,0.935235917,6.899794140759335
B,73,4,7.39530964,Broad,-1.135726376,0,2.24674912,6.6495987839202675
B,74,1,1.794701909,Broad,-0.276213912,1,1.925279126,7.401536475008258
B,75,3,10.74315211,Broad,-2.020542267,1,2.346064797,6.585562565976762
B,76,2,4.675648528,Broad,-0.808404196,0,1.28624844,5.855085409997395
B,77,2,5.291130474,Broad,-0.197439156,1,1.619702352,7.026162167315144
B,78,1,3.243457489,Broad,-0.720652301,0,1.17002554,7.991025816497457
B,79,2,7.854505275,Broad,-1.152213735,0,0.870293016,6.048701040364229
B,80,2,4.686522418,Broad,-0.675745874,1,1.053370242,5.659536629297854
B,81,0,6.008171069,Broad,-0.232013261,1,1.570614766,6.541890934037919
B,82,2,5.791480206,Broad,-1.253974531,0,2.055937573,5.8815245285914886
B,83,1,5.723646341,Conifer,-0.934419261,0,0.565841963,7.55532615664525
B,84,1,6.296409937,Broad,-0.958493988,1,2.615028757,7.427719952350144
B,85,2,6.385805544,Conifer,-1.469387804,1,1.585358223,6.594797478735488
B,86,1,5.459729316,Conifer,-0.93009303,1,0.590893399,5.90419311945371
B,87,2,2.287717098,Broad,-0.099265721,0,3.49984742,7.35150005498647
B,88,4,6.351687732,Broad,-0.983917823,0,2.92028298,8.096306263596002
B,89,1,6.286317606,Conifer,-1.7086895,0,1.974567984,4.4653487334722115
B,90,0,5.477238889,Broad,-0.372290748,1,1.254972674,7.452776980434747
B,91,0,2.096376018,Broad,0.309024586,0,1.125804712,7.060330907664034
B,92,1,2.828776241,Broad,-0.982529417,0,1.346240312,5.948662725688115
B,93,1,6.044160723,Conifer,-0.856921732,1,2.448985789,7.565773090962042
B,94,4,3.749894504,Broad,-0.901346607,1,3.077238387,6.8405889867200385
B,95,2,2.909686241,Conifer,-0.769812153,0,1.445738966,7.2478264884545105
B,96,4,5.660471071,Conifer,-1.827721947,1,3.197910067,6.860234151738384
B,97,1,7.198781031,Broad,-1.108263928,1,1.266591009,7.1526129526055815
B,98,1,5.008122478,Broad,-1.057499013,1,1.926899224,5.689792020903441
B,99,4,5.640043047,Conifer,-0.867745796,1,3.248621617,6.301485528513872
B,100,0,6.562183825,Conifer,-1.060410558,0,1.235949591,6.929584621738126
B,101,0,4.224629904,Broad,-0.517145217,1,1.736335339,6.963135041279474
B,102,0,5.293442339,Broad,-0.262731772,0,1.88292565,5.795167264528123
B,103,1,5.615225393,Broad,-0.733573886,1,1.027845412,6.583721796841763
B,104,1,2.755296055,Broad,-0.454150275,0,1.628200585,8.138598440245186
B,105,4,3.476641192,Conifer,-1.251004629,0,2.212732415,7.267193157923907
B,106,3,2.87513398,Broad,-0.276158659,0,1.479168196,6.78589645027221
B,107,4,4.602432181,Broad,-0.494487427,0,2.778498116,5.992199098279218
B,108,2,2.831570339,Conifer,-0.653606383,1,3.229934429,8.725010921205559
B,109,3,8.127248226,Broad,-1.543497967,0,3.830863343,5.759429840193944
B,110,4,3.4348919,Broad,-1.340677774,0,2.49131904,6.772092311539642
B,111,1,3.132005832,Broad,-0.574654954,1,0.788454615,7.650719671821088
B,112,1,2.372618281,Conifer,-0.171434553,1,1.697047456,7.8840681238869506
B,113,5,5.743247409,Conifer,-2.421103583,1,3.723489752,6.838944273326608
B,114,2,4.993036112,Conifer,-1.1633699770000001,1,1.222124323,8.5253543580233
B,115,3,7.86460836,Conifer,-2.320175974,1,2.017826832,6.891473144579561
B,116,2,2.571998561,Broad,0.239907829,1,4.420842203,7.207600251015393
B,117,6,4.947103935,Broad,-0.661445215,1,3.356927967,5.267928132299789
B,118,1,6.829985494,Conifer,-1.287683356,0,0.704482028,7.1064836365428015
B,119,2,2.352249948,Broad,-0.166412566,0,1.519410992,7.878330788632211
B,120,2,7.321285188,Broad,-0.662883173,0,1.569302816,7.480938321369586
B,121,1,5.417243014,Broad,-0.97461485,0,1.47629068,5.528646006795923
B,122,0,7.797295193,Conifer,-2.000186559,1,2.535601714,5.214925429448057
B,123,4,8.868839904,Broad,-1.387624549,1,1.326767767,6.03327572519596
B,124,1,4.049553926,Broad,-0.522873972,1,1.620031529,6.226053814736203
B,125,2,5.763159177,Broad,-0.881953419,0,1.540475718,6.907917907208538
B,126,3,1.890597838,Broad,-1.008165895,1,1.943388501,6.593556877209824
B,127,6,3.308067883,Conifer,-1.212510474,0,2.652290482,6.716996718818662
B,128,2,5.657306926,Conifer,-1.086557374,0,1.633547972,5.957809988482509
B,129,1,1.962639826,Broad,-0.420247998,0,2.024442777,6.460826069883141
B,130,2,3.130627794,Broad,0.226128418,1,0.858832991,6.731172685394355
B,131,4,4.957632119,Broad,-0.423387582,1,2.314792552,6.654323873089165
B,132,0,5.749784202,Broad,-0.976711171,0,0.381517196,7.825456216633681
B,133,1,9.175908977,Broad,-1.946962267,0,2.710843556,7.605745258793393
B,134,3,2.452054395,Broad,-0.256612496,1,1.750321354,6.826885532810298
B,135,1,6.660337432,Broad,-1.252233378,1,1.955577417,5.02233926223265
B,136,3,8.557334219,Conifer,-2.153561059,0,2.601766623,6.314808917030502
B,137,1,5.431618328,Conifer,-1.45218298,0,2.3573508,7.196428436937487
B,138,1,5.480344616,Conifer,-1.952389308,0,2.380328352,6.64571851337796
B,139,3,5.741608488,Broad,0.390781485,1,3.400282759,6.018196867220712
B,140,3,3.296531352,Conifer,-1.087101735,1,2.616438686,8.074361290675483
B,141,0,8.253977279,Conifer,-2.035866615,0,0.880766031,7.667776121595651
B,142,3,2.973616026,Broad,-0.294048385,1,1.67105447,7.394958092433941
B,143,5,4.828578258,Broad,-1.197082408,0,1.429177712,6.587768369517435
B,144,1,1.359198978,Broad,0.011529924,1,1.46452168,8.119608248136933
B,145,1,4.269327371,Broad,-1.33896306,1,1.697971688,5.692795716636345
B,146,0,6.746570313,Broad,-0.815850568,0,2.265529222,8.20366298312083
B,147,6,1.089037499,Broad,-0.218301936,1,3.01053912,7.605722219409753
B,148,1,4.089205893,Broad,-0.664709126,0,1.956743783,6.6974794541283496
B,149,1,2.184535253,Broad,-0.191889363,1,2.147856973,7.048711953605577
B,150,2,8.261952719,Conifer,-1.871499066,1,3.912708271,6.751517007621064
